concept_A,concept_B,n_people
Acute renal failure syndrome,Pleural effusion,3
Acute renal failure syndrome,Nausea,3
Fever,Illness,3
Fever,Inflammatory disorder of digestive tract,3
Fever,Nausea,3
Fever,Nausea and vomiting,3
Leukocytosis,Retention of urine,3
Late effect of medical and surgical care complication,Tachycardia,3
Late effect of medical and surgical care complication,Retention of urine,3
Fever,Low blood pressure,3
Fever,Pain due to neoplastic disease,3
Fever,Pancytopenia due to antineoplastic chemotherapy,3
Acute renal failure syndrome,Hypoxemia,3
Acute renal failure syndrome,Fever,3
Fever,Poisoning by drug AND/OR medicinal substance,3
Fever,Secondary hypertension,3
Acute renal failure syndrome,Dyspnea,3
Fever,Sepsis,3
Fever,Shoulder joint pain,3
Acute renal failure syndrome,Electrocardiogram abnormal,3
Acute renal failure syndrome,Constipation,3
Acute renal failure syndrome,Anemia,3
Acute renal failure syndrome,Ascites,3
Generalized abdominal pain,Pleural effusion,3
Generalized abdominal pain,Nausea,3
Generalized abdominal pain,Nausea and vomiting,3
Hypervolemia,Pleural effusion,3
Hypervolemia,Nausea,3
Hypervolemia,Nausea and vomiting,3
Hypervolemia,Inflammatory dermatosis,3
Hypo-osmolality and or hyponatremia,Nausea and vomiting,3
Hypo-osmolality and or hyponatremia,"Intra-abdominal and pelvic swelling, mass and lump",3
Hypervolemia,Vomiting,3
Hypo-osmolality and or hyponatremia,Illness,3
Abdominal pain,Pain due to neoplastic disease,3
Hypoxemia,Thrombocytopenic disorder,3
Hypervolemia,Sepsis,3
Hypo-osmolality and or hyponatremia,Pleural effusion,3
Hypo-osmolality and or hyponatremia,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Hypo-osmolality and or hyponatremia,Secondary malignant neoplasm of lung,3
Hypo-osmolality and or hyponatremia,Pain due to neoplastic disease,3
Hypo-osmolality and or hyponatremia,Tachycardia,3
Hypo-osmolality and or hyponatremia,Secondary malignant neoplasm of pleura,3
Hypoxemia,Pleural effusion,3
Hypoxemia,Nausea,3
Hypoxemia,Low blood pressure,3
Illness,"Intra-abdominal and pelvic swelling, mass and lump",3
Hypoxemia,Shoulder joint pain,3
Hypoxemia,Tachycardia,3
Hypoxemia,Sepsis,3
Hypoxemia,Retention of urine,3
Hypoxemia,Secondary hypertension,3
Illness,Pain due to neoplastic disease,3
Illness,Nausea,3
Illness,Nausea and vomiting,3
Illness,Retention of urine,3
Illness,Pneumothorax,3
Illness,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Illness,Secondary malignant neoplasm of lung,3
Illness,Secondary malignant neoplasm of pleura,3
Inflammatory dermatosis,Pleural effusion,3
Inflammatory dermatosis,Nausea,3
Abdominal pain,Retention of urine,3
Abdominal pain,Right upper quadrant pain,3
Abdominal pain,Secondary hypertension,3
Hypoxemia,Lung field abnormal,3
Abdominal pain,Pneumothorax,3
Inflammatory dermatosis,Nausea and vomiting,3
Inflammatory disorder of digestive tract,Pancytopenia due to antineoplastic chemotherapy,3
Inflammatory dermatosis,Vomiting,3
Inflammatory dermatosis,Sepsis,3
"Intra-abdominal and pelvic swelling, mass and lump",Pleural effusion,3
"Intra-abdominal and pelvic swelling, mass and lump",Nausea and vomiting,3
"Intra-abdominal and pelvic swelling, mass and lump",Pain due to neoplastic disease,3
Low blood pressure,Nausea,3
"Intra-abdominal and pelvic swelling, mass and lump",Tachycardia,3
"Intra-abdominal and pelvic swelling, mass and lump",Secondary malignant neoplasm of intrathoracic lymph nodes,3
"Intra-abdominal and pelvic swelling, mass and lump",Secondary malignant neoplasm of lung,3
"Intra-abdominal and pelvic swelling, mass and lump",Secondary malignant neoplasm of pleura,3
Atelectasis,Leukocytosis,3
Abdominal pain,Shoulder joint pain,3
Low blood pressure,Sepsis,3
Low blood pressure,Pleural effusion,3
Acute deep vein thrombosis of lower limb,Tachycardia,3
Acute deep vein thrombosis of lower limb,Sepsis,3
Acute deep vein thrombosis of lower limb,Retention of urine,3
Acute deep vein thrombosis of lower limb,Right upper quadrant pain,3
Acute deep vein thrombosis of lower limb,Pleural effusion,3
Acute deep vein thrombosis of lower limb,Pain due to neoplastic disease,3
Acute deep vein thrombosis of lower limb,Nausea,3
Acute deep vein thrombosis of lower limb,Nausea and vomiting,3
Nausea,Pain due to neoplastic disease,3
Abnormal findings on diagnostic imaging of lung,Electrocardiogram abnormal,3
Nausea,Retention of urine,3
Anemia in neoplastic disease,Retention of urine,3
Headache,Tachycardia,3
Abdominal pain,Vomiting,3
Nausea,Pneumothorax,3
Nausea,Sepsis,3
Anemia in neoplastic disease,Candidiasis of mouth,3
Nausea,Right upper quadrant pain,3
Nausea,Secondary hypertension,3
Acute deep vein thrombosis of lower limb,Dyspnea,3
Acute deep vein thrombosis of lower limb,Diarrhea,3
Anemia in neoplastic disease,Dyspnea,3
Nausea,Vomiting,3
Nausea and vomiting,Secondary malignant neoplasm of pleura,3
Nausea and vomiting,Retention of urine,3
Nausea and vomiting,Right upper quadrant pain,3
Anemia in neoplastic disease,Fever,3
Headache,Oral ulcerative mucositis due to antineoplastic therapy,3
Headache,Pain due to neoplastic disease,3
Anemia in neoplastic disease,Poisoning by drug AND/OR medicinal substance,3
Nausea and vomiting,Poisoning by drug AND/OR medicinal substance,3
Atelectasis,Retention of urine,3
Nausea and vomiting,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Nausea and vomiting,Secondary malignant neoplasm of lung,3
Acute deep vein thrombosis of lower limb,Cardiac arrhythmia,3
Acute deep vein thrombosis of lower limb,Chest pain,3
Abnormal findings on diagnostic imaging of lung,Pneumothorax,3
Nausea and vomiting,Vomiting,3
Nausea and vomiting,Secondary thrombocytopenia,3
Nausea and vomiting,Sepsis,3
Pain due to neoplastic disease,Poisoning by drug AND/OR medicinal substance,3
Pain due to neoplastic disease,Retention of urine,3
Pain due to neoplastic disease,Right upper quadrant pain,3
Pain due to neoplastic disease,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Pain due to neoplastic disease,Secondary malignant neoplasm of lung,3
Atelectasis,Nausea,3
Abnormal findings on diagnostic imaging of lung,Pain due to neoplastic disease,3
Pain due to neoplastic disease,Secondary malignant neoplasm of pleura,3
Abnormal findings on diagnostic imaging of lung,Nausea,3
Pleural effusion,Right upper quadrant pain,3
Pleural effusion,Pneumothorax,3
Pleural effusion,Poisoning by drug AND/OR medicinal substance,3
Abnormal findings on diagnostic imaging of lung,Nausea and vomiting,3
Pleural effusion,Secondary hypertension,3
Pleural effusion,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Pleural effusion,Secondary malignant neoplasm of lung,3
Pleural effusion,Secondary malignant neoplasm of pleura,3
Pleural effusion,Vomiting,3
Pleural effusion,Secondary thrombocytopenia,3
Pleural effusion,Sepsis,3
Essential hypertension,Thrombocytopenic disorder,3
Abnormal findings on diagnostic imaging of lung,Hypo-osmolality and or hyponatremia,3
Pneumonia,Retention of urine,3
Pneumothorax,Tachycardia,3
Poisoning by drug AND/OR medicinal substance,Retention of urine,3
Poisoning by drug AND/OR medicinal substance,Tachycardia,3
Retention of urine,Secondary hypertension,3
Abnormal findings on diagnostic imaging of lung,"Intra-abdominal and pelvic swelling, mass and lump",3
Retention of urine,Sepsis,3
Secondary hypertension,Tachycardia,3
Right upper quadrant pain,Tachycardia,3
Secondary malignant neoplasm of intrathoracic lymph nodes,Tachycardia,3
Secondary malignant neoplasm of intrathoracic lymph nodes,Secondary malignant neoplasm of lung,3
Secondary malignant neoplasm of intrathoracic lymph nodes,Secondary malignant neoplasm of pleura,3
Secondary malignant neoplasm of lung,Tachycardia,3
Secondary malignant neoplasm of lung,Secondary malignant neoplasm of pleura,3
Fever,Late effect of medical and surgical care complication,3
Fever,Leukocytosis,3
Fever,Lung field abnormal,3
Fever,Headache,3
Secondary malignant neoplasm of pleura,Tachycardia,3
Sepsis,Vomiting,3
Sepsis,Shoulder joint pain,3
Abdominal pain,Cardiomegaly,3
Anemia in neoplastic disease,Electrocardiogram abnormal,3
Anemia in neoplastic disease,Essential hypertension,3
Abdominal pain,Late effect of complications of procedure,3
Abdominal pain,Late effect of medical and surgical care complication,3
Abdominal pain,Leukocytosis,3
Anemia in neoplastic disease,Disorder of brain,3
Abdominal pain,"Flatulence, eructation and gas pain",3
Essential hypertension,Leukocytosis,3
Essential hypertension,Late effect of medical and surgical care complication,3
Anemia in neoplastic disease,Nausea and vomiting,3
Abdominal pain,Septic shock,3
Abdominal pain,Severe sepsis,3
Anemia,Shoulder joint pain,3
Abdominal pain,Pulmonary congestion and hypostasis,3
Ascites,Constipation,3
Abnormal glucose level,Cardiomegaly,3
Abnormal glucose level,Acute renal failure syndrome,3
Ascites,Low blood pressure,3
Abnormal glucose level,Low blood pressure,3
Anemia,Right upper quadrant pain,3
Abnormal glucose level,Headache,3
Abnormal glucose level,Dyspnea,3
Abnormal glucose level,Electrocardiogram abnormal,3
Abnormal glucose level,Constipation,3
Abnormal glucose level,Nausea,3
Abnormal glucose level,Pleural effusion,3
Abnormal glucose level,Pulmonary congestion and hypostasis,3
Abnormal glucose level,Late effect of complications of procedure,3
Abnormal glucose level,Late effect of medical and surgical care complication,3
Abnormal glucose level,Leukocytosis,3
Abnormal glucose level,Sepsis,3
Abnormal glucose level,Septic shock,3
Abnormal glucose level,Severe sepsis,3
Anemia,Secondary hypertension,3
Acute renal failure syndrome,Lung field abnormal,3
Acute renal failure syndrome,Acute respiratory failure,3
Acute renal failure syndrome,Thrombocytopenic disorder,3
Acute respiratory failure,Dyspnea,3
Acute respiratory failure,Electrocardiogram abnormal,3
Acute respiratory failure,Constipation,3
Acute respiratory failure,Diarrhea,3
Dyspnea,Oral ulcerative mucositis due to antineoplastic therapy,3
Acute respiratory failure,Bacteremia,3
Anemia,Secondary malignant neoplasm of intrathoracic lymph nodes,3
Acute respiratory failure,Cardiomegaly,3
Acute respiratory failure,Leukocytosis,3
Acute respiratory failure,Low blood pressure,3
Anemia,Secondary malignant neoplasm of lung,3
Acute respiratory failure,Headache,3
Acute respiratory failure,Hyperkalemia,3
Acute respiratory failure,Nausea,3
Acute respiratory failure,No matching concept,3
Acute respiratory failure,Pleural effusion,3
Acute respiratory failure,Infectious disease carrier,3
Acute respiratory failure,Infective pneumonia,3
Acute respiratory failure,Late effect of complications of procedure,3
Acute respiratory failure,Late effect of medical and surgical care complication,3
Acute respiratory failure,Pulmonary congestion and hypostasis,3
Acute respiratory failure,Seizure,3
Anemia,Poisoning by drug AND/OR medicinal substance,3
Acute respiratory failure,Septic shock,3
Ascites,Sepsis,3
Anemia,Secondary malignant neoplasm of pleura,3
Bacteremia,Diarrhea,3
Bacteremia,Infectious disease carrier,3
Bacteremia,Infective pneumonia,3
Bacteremia,Seizure,3
Bacteremia,Sepsis,3
Bacteremia,Severe sepsis,3
Bacteremia,Thrombocytopenic disorder,3
Anemia,Pneumonia,3
Cardiac arrhythmia,"Flatulence, eructation and gas pain",3
Anemia,Pneumothorax,3
Cardiac arrhythmia,Cardiomegaly,3
Cardiac arrhythmia,Pulmonary congestion and hypostasis,3
Cardiac arrhythmia,Septic shock,3
Cardiac arrhythmia,Late effect of complications of procedure,3
Cardiac arrhythmia,Late effect of medical and surgical care complication,3
Cardiac arrhythmia,Leukocytosis,3
Cardiac arrhythmia,Severe sepsis,3
Anemia,Pancytopenia due to antineoplastic chemotherapy,3
Cardiomegaly,Dyspnea,3
Cardiomegaly,Electrocardiogram abnormal,3
Cardiomegaly,Pleural effusion,3
Cardiomegaly,Pulmonary congestion and hypostasis,3
Cardiomegaly,Late effect of complications of procedure,3
Cardiomegaly,Late effect of medical and surgical care complication,3
Cardiomegaly,Leukocytosis,3
Cardiomegaly,Lung field abnormal,3
Anemia,Low blood pressure,3
Chest pain,Chronic pain,3
Cardiomegaly,Thrombocytopenic disorder,3
Cardiomegaly,Nausea,3
Chest pain,Late effect of medical and surgical care complication,3
Chest pain,Leukocytosis,3
Chest pain,"Flatulence, eructation and gas pain",3
Chronic pain,Constipation,3
Anemia,Inflammatory disorder of digestive tract,3
Chest pain,Thrombocytopenic disorder,3
Chest pain,Lung field abnormal,3
Chronic pain,Late effect of medical and surgical care complication,3
Chronic pain,Leukocytosis,3
Chronic pain,Headache,3
Chronic pain,Disorder of brain,3
Chronic pain,Dyspnea,3
Chronic pain,Electrocardiogram abnormal,3
Chronic pain,Seizure,3
Chronic pain,Nausea and vomiting,3
Chronic pain,Pleural effusion,3
Constipation,Late effect of medical and surgical care complication,3
Constipation,Leukocytosis,3
Anemia,"Intra-abdominal and pelvic swelling, mass and lump",3
Chronic pain,Thrombocytopenic disorder,3
Constipation,Seizure,3
Constipation,Septic shock,3
Constipation,Severe sepsis,3
Anemia,Hypo-osmolality and or hyponatremia,3
Constipation,Lung field abnormal,3
Diarrhea,Infectious disease carrier,3
Diarrhea,Infective pneumonia,3
Diarrhea,Seizure,3
Diarrhea,Severe sepsis,3
Diarrhea,Thrombocytopenic disorder,3
Disorder of brain,Thrombocytopenic disorder,3
Disorder of brain,Late effect of medical and surgical care complication,3
Disorder of brain,Leukocytosis,3
Acidosis,Sepsis,3
Disorder of brain,Headache,3
Disorder of brain,Seizure,3
Dyspnea,Late effect of complications of procedure,3
Anemia,Edema,3
Anemia,Disorder of soft tissue,3
Candidiasis of mouth,Chest pain,3
Dyspnea,"Flatulence, eructation and gas pain",3
Anemia,Diarrhea,3
Electrocardiogram abnormal,Headache,3
Candidiasis of mouth,Electrocardiogram abnormal,3
Dyspnea,Pulmonary congestion and hypostasis,3
Dyspnea,Seizure,3
Acidosis,Low blood pressure,3
Electrocardiogram abnormal,Late effect of complications of procedure,3
Candidiasis of mouth,Essential hypertension,3
Candidiasis of mouth,Disorder of brain,3
Electrocardiogram abnormal,Lung field abnormal,3
Electrocardiogram abnormal,Seizure,3
Anemia,Disorder of bone,3
Electrocardiogram abnormal,Pulmonary congestion and hypostasis,3
Epilepsy,Seizure,3
Acidosis,Constipation,3
Epilepsy,Thrombocytopenic disorder,3
"Flatulence, eructation and gas pain",Headache,3
Acidosis,Ascites,3
"Flatulence, eructation and gas pain",Lung field abnormal,3
Acidosis,Cardiac arrhythmia,3
Acidosis,Acute renal failure syndrome,3
"Flatulence, eructation and gas pain",Nausea,3
"Flatulence, eructation and gas pain",Nausea and vomiting,3
"Flatulence, eructation and gas pain",Pleural effusion,3
Headache,Leukocytosis,3
Anemia,Disorder of brain,3
Headache,Nausea,3
Anemia,Candidiasis of mouth,3
Headache,Sepsis,3
Headache,Septic shock,3
Headache,Severe sepsis,3
Candidiasis of mouth,Constipation,3
Candidiasis of mouth,Fever,3
Headache,Seizure,3
Headache,Late effect of medical and surgical care complication,3
Hyperkalemia,Severe sepsis,3
Hyperkalemia,Thrombocytopenic disorder,3
Hyperkalemia,Sepsis,3
Infectious disease carrier,Infective pneumonia,3
Infectious disease carrier,Thrombocytopenic disorder,3
Infectious disease carrier,Seizure,3
Infectious disease carrier,Sepsis,3
Infectious disease carrier,Severe sepsis,3
Infective pneumonia,Seizure,3
Infective pneumonia,Sepsis,3
